country,iso_code,outcome,model,cooks_distance,studentized_residual,hat_value,cooks_threshold_4_over_n,flag_influential,flag_large_studentized_residual
Greece,GRC,daly_rate,M2_primary,0.00030824331795850033,-0.28879545700292186,0.03883503414722939,0.025,False,False
Finland,FIN,daly_rate,M2_primary,0.00028856526405227463,-0.30221734323733185,0.03338823248083244,0.025,False,False
Togo,TGO,daly_rate,M2_primary,0.00028305571557343465,-0.33329028741460437,0.027107255559916492,0.025,False,False
Burundi,BDI,daly_rate,M2_primary,0.0002499272126006392,-0.24027424558216082,0.04518118105850902,0.025,False,False
Poland,POL,daly_rate,M2_primary,0.00016696552741072727,0.2576931956985974,0.026749070132911123,0.025,False,False
Congo,COG,daly_rate,M2_primary,0.00015252084576802735,0.20499366810181416,0.03815443987581152,0.025,False,False
Norway,NOR,daly_rate,M2_primary,0.00014942749417957618,-0.22446081819895009,0.03139861327084669,0.025,False,False
Dominica,DMA,daly_rate,M2_primary,0.00014702804592805737,0.17119418723489005,0.05197517841370918,0.025,False,False
Ghana,GHA,daly_rate,M2_primary,0.00011709419871614877,-0.19121128890609276,0.033817605025298174,0.025,False,False
Zimbabwe,ZWE,daly_rate,M2_primary,0.0001146383890175855,-0.199171754839453,0.030616443931977683,0.025,False,False
Netherlands,NLD,daly_rate,M2_primary,0.00011236235416961568,0.18842350976807906,0.03343147975074884,0.025,False,False
Ireland,IRL,daly_rate,M2_primary,8.436589890674907e-05,-0.11711495965697341,0.06297956176080098,0.025,False,False
Argentina,ARG,daly_rate,M2_primary,8.393337380780446e-05,-0.11967806847312258,0.06018106745792991,0.025,False,False
Saint Lucia,LCA,daly_rate,M2_primary,8.026392490110289e-05,0.09022082099192058,0.09726551558267293,0.025,False,False
Austria,AUT,daly_rate,M2_primary,7.606146813246625e-05,-0.17318874619173244,0.02696557662813995,0.025,False,False
Slovakia,SVK,daly_rate,M2_primary,7.159586297169379e-05,0.15791259526927637,0.03042136676314484,0.025,False,False
Barbados,BRB,daly_rate,M2_primary,4.697110455221611e-05,0.07534442883207634,0.08291320676288419,0.025,False,False
United Kingdom,GBR,daly_rate,M2_primary,3.719349992218491e-05,0.12624759375350558,0.02486567051367073,0.025,False,False
Belgium,BEL,daly_rate,M2_primary,3.3836633084216174e-05,-0.11441808670075296,0.02746684286216726,0.025,False,False
Mongolia,MNG,daly_rate,M2_primary,2.7095033154956632e-05,0.06232741990772665,0.07081315921821799,0.025,False,False
Tunisia,TUN,daly_rate,M2_primary,2.295441654820493e-05,0.051130408424987894,0.08753831365751327,0.025,False,False
Moldova,MDA,daly_rate,M2_primary,2.0744992268991084e-05,-0.06091017325640313,0.05757818328244257,0.025,False,False
Luxembourg,LUX,daly_rate,M2_primary,1.898945942459522e-05,0.05780203173960129,0.05847068430254283,0.025,False,False
Algeria,DZA,daly_rate,M2_primary,1.640439455659032e-05,0.0542377894737872,0.05743097288869133,0.025,False,False
Serbia,SRB,daly_rate,M2_primary,1.3649812363464428e-05,-0.06075639133376135,0.03883468563130866,0.025,False,False
Zambia,ZMB,daly_rate,M2_primary,1.0213732064943303e-05,0.06268160123655295,0.027619771259410213,0.025,False,False
Guatemala,GTM,daly_rate,M2_primary,8.84300267494983e-06,-0.040962221936969155,0.05444910075030879,0.025,False,False
Democratic Republic of Congo,COD,daly_rate,M2_primary,6.068444675670612e-06,-0.03919624705761985,0.041372425416270425,0.025,False,False
Nepal,NPL,daly_rate,M2_primary,5.17127907881186e-06,0.013972686726706074,0.22444880929235975,0.025,False,False
