population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,39,Tajikistan,3,Both,22,All ages,294,All causes,1,Number,2023,50262.505274224415,53473.16917734337,47296.02291696505
1,All Population,1,Deaths,39,Tajikistan,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,39,Tajikistan,3,Both,22,All ages,294,All causes,3,Rate,2023,470.3462044621241,500.3909380542232,442.5864716408412
1,All Population,1,Deaths,112,Grenada,3,Both,22,All ages,294,All causes,1,Number,2023,1011.587532041974,1090.784338597396,936.6590995595235
1,All Population,1,Deaths,112,Grenada,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,112,Grenada,3,Both,22,All ages,294,All causes,3,Rate,2023,887.2643843733522,956.7279785626641,821.5445851342251
1,All Population,1,Deaths,155,Türkiye,3,Both,22,All ages,294,All causes,1,Number,2023,594514.9050125533,642350.5321853234,555491.2668629211
1,All Population,1,Deaths,155,Türkiye,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,155,Türkiye,3,Both,22,All ages,294,All causes,3,Rate,2023,692.3790485622819,748.0889824092116,646.9316607412645
1,All Population,1,Deaths,60,Lithuania,3,Both,22,All ages,294,All causes,1,Number,2023,38670.19954085577,39367.950266915606,37998.59796050496
1,All Population,1,Deaths,60,Lithuania,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,60,Lithuania,3,Both,22,All ages,294,All causes,3,Rate,2023,1362.068853201853,1386.645517986346,1338.413231942632
1,All Population,1,Deaths,76,Belgium,3,Both,22,All ages,294,All causes,1,Number,2023,111715.83178158215,112701.39500025495,110606.67662435256
1,All Population,1,Deaths,76,Belgium,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,76,Belgium,3,Both,22,All ages,294,All causes,3,Rate,2023,962.1476231227806,970.6357424265619,952.5950737554778
1,All Population,1,Deaths,177,Djibouti,3,Both,22,All ages,294,All causes,1,Number,2023,8476.430790935156,8933.263562150953,8094.663121316635
1,All Population,1,Deaths,177,Djibouti,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,177,Djibouti,3,Both,22,All ages,294,All causes,3,Rate,2023,610.0128933562213,642.8892168256832,582.5386879414962
1,All Population,1,Deaths,15,Myanmar,3,Both,22,All ages,294,All causes,1,Number,2023,568259.3224532485,605951.8124340426,533285.840956292
1,All Population,1,Deaths,15,Myanmar,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,15,Myanmar,3,Both,22,All ages,294,All causes,3,Rate,2023,988.0771747943952,1053.616071455881,927.2660320206141
1,All Population,1,Deaths,77,Cyprus,3,Both,22,All ages,294,All causes,1,Number,2023,10109.004224641763,10859.328399054886,9296.364278953137
1,All Population,1,Deaths,77,Cyprus,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,77,Cyprus,3,Both,22,All ages,294,All causes,3,Rate,2023,738.9440267094197,793.7909289816272,679.5419906247673
1,All Population,1,Deaths,130,Mexico,3,Both,22,All ages,294,All causes,1,Number,2023,796630.3445985223,801423.524012084,790883.3921449474
1,All Population,1,Deaths,130,Mexico,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,130,Mexico,3,Both,22,All ages,294,All causes,3,Rate,2023,603.8913106867179,607.5248145044408,599.5347924180189
1,All Population,1,Deaths,193,Botswana,3,Both,22,All ages,294,All causes,1,Number,2023,17078.971608956308,17510.785242681253,16622.264715891084
1,All Population,1,Deaths,193,Botswana,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,193,Botswana,3,Both,22,All ages,294,All causes,3,Rate,2023,698.5481902496384,716.2098293266358,679.8683902634405
1,All Population,1,Deaths,78,Denmark,3,Both,22,All ages,294,All causes,1,Number,2023,58582.068026063374,59289.90563089674,57887.96157271241
1,All Population,1,Deaths,78,Denmark,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,78,Denmark,3,Both,22,All ages,294,All causes,3,Rate,2023,991.3867195134156,1003.3654840850564,979.6403277767072
1,All Population,1,Deaths,113,Guyana,3,Both,22,All ages,294,All causes,1,Number,2023,6781.55253990872,7258.268410127002,6366.6180666919745
1,All Population,1,Deaths,113,Guyana,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,113,Guyana,3,Both,22,All ages,294,All causes,3,Rate,2023,830.8140376730757,889.216923240666,779.9800460414793
1,All Population,1,Deaths,172,Equatorial Guinea,3,Both,22,All ages,294,All causes,1,Number,2023,11615.391736909853,12229.316277685135,10938.99591713427
1,All Population,1,Deaths,172,Equatorial Guinea,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,172,Equatorial Guinea,3,Both,22,All ages,294,All causes,3,Rate,2023,714.1865265016453,751.934425603244,672.5975046238285
1,All Population,1,Deaths,210,Liberia,3,Both,22,All ages,294,All causes,1,Number,2023,48257.14412396713,50008.58351149831,46245.94199982989
1,All Population,1,Deaths,210,Liberia,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,210,Liberia,3,Both,22,All ages,294,All causes,3,Rate,2023,841.518548763522,872.0605287832335,806.4467697865833
1,All Population,1,Deaths,194,Lesotho,3,Both,22,All ages,294,All causes,1,Number,2023,22749.390152135667,23927.62073755331,21551.015409143994
1,All Population,1,Deaths,194,Lesotho,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,194,Lesotho,3,Both,22,All ages,294,All causes,3,Rate,2023,1185.465991120336,1246.8633419666528,1123.0189324109035
1,All Population,1,Deaths,376,Northern Mariana Islands,3,Both,22,All ages,294,All causes,1,Number,2023,370.94453244413415,386.9603548180014,355.05310682662906
1,All Population,1,Deaths,376,Northern Mariana Islands,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
1,All Population,1,Deaths,376,Northern Mariana Islands,3,Both,22,All ages,294,All causes,3,Rate,2023,782.8477564899645,816.6478250099437,749.3102170359628
1,All Population,1,Deaths,126,Costa Rica,3,Both,22,All ages,294,All causes,1,Number,2023,29175.733224469397,29726.981856393002,28601.32920733652
1,All Population,1,Deaths,126,Costa Rica,3,Both,22,All ages,294,All causes,2,Percent,2023,1.0,1.0,1.0
